ID,诗名,花名,top10_count,imagery_count,imagery_ratio,nature_count,culture_count,action_count,imagery_tokens,non_imagery_tokens
872,题菊花,菊花,10,5,0.5,5,0,0,风、花、蝶、寒、桃,蕊、帝、青、西、院
663,白 莲,木芙蓉,10,3,0.3,3,0,0,花、风、月,池、恨、堕、情、人、欺、清
642,张静婉采莲曲,荷花,10,5,0.5,5,0,0,雨、香、柳、月、露,膏、烟、愁、玛、鶒
704,水龙吟白莲,虞美人,10,3,0.3,3,0,0,雨、山、寒,凉、袜、夜、洗、顾、语、解
639,奉酬卢给事云夫四兄曲江荷花行见寄并呈上钱七兄阁老张十八助教,荷花,0,0,0.0,0,0,0,,
638,采莲曲,荷花,10,5,0.5,5,0,0,寒、花、叶、莲、风,物、翠、浦、裙、潭
696,玉楼春,木芙蓉,10,4,0.4,3,1,0,花、香、云、镜,塘、冉、粉、冷、碧、心
637,观鑫,荷花,10,3,0.3,2,1,0,花、叶、镜,荷、昂、巫、心、簸、濂、捧
636,采莲曲,荷花,10,3,0.3,3,0,0,江、日、鱼,荷、茄、田、凉、鸳、波、蒲
699,踏莎行,虞美人,10,4,0.4,4,0,0,云、雨、蝶、柳,心、浦、却、蜂、照、萍
701,惜红衣,虞美人,10,3,0.3,2,1,0,花、云、书,虹、荷、睡、梁、墙、城、丁
702,洞仙歌令,虞美人,10,1,0.1,1,0,0,花,烟、荷、陂、清、渚、桡、浪、骚、凝
703,水龙吟,虞美人,10,4,0.4,4,0,0,露、叶、山、香,烟、飕、波、台、尘、婷
706,迈陂塘,虞美人,10,3,0.3,3,0,0,花、香、风,心、烟、梁、梦、阳、蒂、灵
707,迈陂塘,虞美人,10,2,0.2,2,0,0,雨、云,泪、烟、荷、滟、梦、尸、名、脂
708,念奴娇,虞美人,10,3,0.3,3,0,0,花、叶、寒,翠、佩、冷、荷、嫣、沙、田
759,南柯子,秋海棠,10,2,0.2,2,0,0,露、叶,烟、碧、阑、地、卸、姿、关、嫣
