row_idx,ID,诗名,花名,朝代
536,524,红 荆,紫荆,唐
537,525,惜郁李花,郁李花,唐
538,526,次韵郁李花,郁李花,宋
539,527,楝花,楝花,宋
540,528,寄 友,郁李花,元
541,529,褐金门,郁李花,清
542,1022,浣溪沙,杨花,明
543,1023,渡江云,杨花,清
544,1018,洛阳牡丹图,牡丹,宋
545,1019,浣溪沙（兰花）,兰花,清
546,1020,锦被堆(其二),蔷薇,宋
547,1021,瑶华,琼花,宋
548,530,题阶前芍药,芍药,唐
549,531,送芍药与公择,芍药,宋
550,532,芍药歌,芍药,唐
551,533,黄修职雨中送芍药五枝,芍药,宋
552,534,七里湾得朱表臣寄千叶楼子髻子芍药,芍药,宋
553,535,芙蓉渡酒店前金沙芍药盛开,芍药,宋
554,536,咏芍药,芍药,金
555,537,芍 药,芍药,唐
556,538,华严院西轩见芍药,芍药,宋
557,539,谢赵生惠芍药(其三),芍药,宋
558,540,咏一捻红芍药,芍药,清
559,541,白芍药,芍药,清
560,542,浪淘沙,芍药,宋
561,543,水龙吟,芍药,宋
562,544,望海潮,芍药,宋
563,545,紫躑躅,杜鹃,唐
564,546,山石榴寄元九,杜鹃,唐
565,547,杜鹃花,杜鹃,唐
566,548,玉泉寺南三里涧下多深红躑躅，繁艳殊常,杜鹃,唐
567,549,杜鹃花,杜鹃,宋
568,550,宣城见杜鹃花,杜鹃,唐
569,551,寄李渤,杜鹃,唐
570,552,戏问山石榴,杜鹃,唐
571,553,山石榴,杜鹃,唐
572,554,叹灵鹫寺山石榴,杜鹃,唐
573,555,送杜鹃花,杜鹃,唐
574,556,杜鹃花,杜鹃,宋
575,557,杜鹃花,杜鹃,清
576,558,浪淘沙,杜鹃,宋
577,559,定风波,杜鹃,宋
578,560,山枇杷,杜鹃,唐
579,561,唐昌观玉蕊花拆，有仙人游，怅然成二绝(其二),玉蕊花,唐
580,562,和严给事闻唐昌观玉蕊花下有游仙二首(其一),玉蕊花,唐
581,563,唐昌观玉蕊花,玉蕊花,唐
582,564,赋虞美人草,虞美人,宋
583,565,虞美人花,虞美人,清
584,566,咏虞美人草,虞美人,明
585,567,咏虞美人草,虞美人,宋
586,568,咏虞美人草,虞美人,宋
587,569,虞美人,虞美人,清
588,570,虞美人,虞美人,宋
589,571,浪淘沙,虞美人,宋
590,572,米囊花,罂粟,宋
591,573,罂粟花,罂粟,清
592,574,含笑花,含笑,宋
593,575,含 笑,含笑,宋
594,576,闻傅氏庄紫笑花开，急棹小舟观之,含笑,宋
595,577,含笑花,含笑,宋
596,578,咏慎郎中园木香,木香,宋
597,579,木 香,木香,宋
598,580,司直巡官无绪移到玫瑰花,玫瑰,唐
599,581,红玫瑰,玫瑰,宋
600,582,合欢诗,合欢,晋
601,583,东墙夜合树去秋为风雨所摧，今年花时，帐然有感,合欢,唐
602,584,中书东厅夜合,合欢,宋
603,585,夜合花,合欢,明
604,586,合欢花,合欢,明
605,587,夜合花,合欢,清
606,588,辛夷坞,辛夷,唐
607,589,辛 夷,辛夷,明
608,590,木莲花,辛夷,清
609,591,题灵隐寺红辛夷戏酬光上人,辛夷,唐
610,592,二辛夷,辛夷,唐
611,593,木笔花,辛夷,明
612,594,路旁棣棠花,棣棠,宋
613,1024,贺新郎（客赠芍药）,芍药,宋
614,1026,虞美人草行,虞美人,宋
615,1027,虞美人,虞美人,宋
616,1025,山枇杷,山枇杷,唐
617,1017,蝶恋花,梨花,宋
618,1015,清平乐,杏花,金
619,1014,南圃杏花,棣棠,唐
620,1010,桃花行,桃花,清
621,595,咏邻女东窗海石榴,榴花,唐
622,596,赋园中所有,榴花,宋
623,597,榴 花,榴花,明
624,598,榴 花,榴花,金
625,599,海 榴,榴花,唐
626,600,西园石榴开,榴花,宋
627,601,榴 花,榴花,宋
628,602,咏石榴花,榴花,元
629,603,榴 花,榴花,唐
630,604,山寺看海榴花,榴花,唐
631,605,榴 花,榴花,元
632,606,南歌子,榴花,元
633,607,庆清朝,榴花,宋
634,608,贺新郎,榴花,宋
635,609,石竹咏,石竹,唐
636,610,石竹花,石竹,宋
637,611,石竹花,石竹,宋
638,612,赋石竹,石竹,元
639,613,咏栀子花,栀子花,明
640,614,雨过山村,栀子花,唐
641,615,栀 子,栀子花,宋
642,616,蜀 葵,蜀葵,明
643,617,春日忆山中故居,桐花,清
644,618,桐,桐花,清
645,619,采莲曲,莲花,南朝梁
