ID,诗名,花名,sxhy_heading,sxhy_raw_words,manual_imagery,共有原词,仅诗学含英原词,仅手工词典,共有词数,sxhy_heading_数,sxhy_raw词数,manual词数
294,水龙吟,杏花,春|月|月桂|春日书怀|春阴|虹|早春|除夜|池|园|山|雨,千里|清香|日迟|风暖|春阴|浅深|碎红|明年|春|池|园|山|雨,人|千里|双燕|山|帘|怨|愁|日|春|暖|杏|枝|柳|桃|清香|玉|竹|翁|雨|风|香|马,千里|山|春|清香|雨,园|日迟|明年|春阴|池|浅深|碎红|风暖,人|双燕|帘|怨|愁|日|暖|杏|枝|柳|桃|玉|竹|翁|风|香|马,5,12,13,22
295,燕山亭,杏花,渔矶|秋风|春暮|天|地|水|山,风雨|凄凉|春暮|天|地|水|山,人|冰|凉|双燕|地|天|山|恨|愁|春|暮|水|珠|苦|雨|风|香,地|天|山|水,凄凉|春暮|风雨,人|冰|凉|双燕|恨|愁|春|暮|珠|苦|雨|风|香,4,7,7,17
296,念奴娇,杏花,雨|送春|流水|江湖|冬雨|寒食|浮山|探春|春暮|药园|春|云,雨|残红|流水|飘香|脉脉|绿杨|依旧|南陌|燕语|千般|春|云,云|人|恨|春|杏花|梅|流水|燕|金|雨|香,云|春|流水|雨,依旧|千般|南陌|残红|燕语|绿杨|脉脉|飘香,人|恨|杏花|梅|燕|金|香,4,12,12,11
297,金缕曲,杏花,秋|春晴|骤雨|寒食|春|春郊|远山|春日书怀|春风|边塞|不见|游春|冬夜|山|雾|日,马头|黑云|春草|垂杨|东君|江村|几点|红雨|春风|玉门关|不见|沽酒|画角|山|雾|秋|日,亭|人|塞|山|愁|旗|日|春|春风|江|玉门关|秋|空|花开|草|蜂|蝶|酒|雁|雨|雾|香|马|黑云,山|日|春风|玉门关|秋|雾|黑云,不见|东君|几点|垂杨|春草|江村|沽酒|画角|红雨|马头,亭|人|塞|愁|旗|春|江|空|花开|草|蜂|蝶|酒|雁|雨|香|马,7,16,17,24
298,沁园春,杏花,春|探春|莲塘|春色|苦热|旱|春日书怀|早春|水|泉|日,春|草芽|翡翠|漾琉璃|载酒|烘云|韶华|深巷|南陌|东风|水|泉|日,东风|云|关|日|春|暖|杏花|枝|水|泉|花|草|蜂|蝶|酒|锦,东风|日|春|水|泉,南陌|深巷|漾琉璃|烘云|翡翠|草芽|载酒|韶华,云|关|暖|杏花|枝|花|草|蜂|蝶|酒|锦,5,11,13,16
299,李花赠张十一署,李花,不见|渡口|江|月|风|雨|天|海|霞|日,不见|波涛|江|月|风|雨|天|海|霞|日,夜|天|少年|日|月|杯|桃|江|波|流|海|涛|烛|燕|空|花|金|雨|雪|霞|风,天|日|月|江|海|雨|霞|风,不见|波涛,夜|少年|杯|桃|波|流|涛|烛|燕|空|花|金|雪,8,10,10,21
300,李花二首(其二),李花,潮|远水|春晴|夏夜|春|园|地|云|罗,天地|连天|日光|明月|春|园|地|云|罗,云|地|夜|天|寒|日|明月|春|玉|花|雪|香,云|地|明月|春,园|天地|日光|罗|连天,夜|天|寒|日|玉|花|雪|香,4,9,9,12
301,丙戌上元后和昌英叔李花,李花,春|山|冬|客中雨|月|雨|风|日,春|山|雪压|泥深|月|雨|风|日,山|日|春|暖|月|李花|梅|雨|雪|露|风|香,山|日|春|月|雨|风,泥深|雪压,暖|李花|梅|雪|露|香,6,8,8,12
302,李 花,李花,春色|秋暮|春郊|松风|月影|春|江|月,花光|月色|江村|风雨寒|香满|春|江|月,冰|寒|愁|春|月|月色|江|花|雨|雪|风|香,春|月|月色|江,江村|花光|风雨寒|香满,冰|寒|愁|花|雨|雪|风|香,4,8,8,12
303,李花二首,李花,早春|暮冬|山|雨|春|风,东风|江梅|山|雨|春|风,东风|山|恨|春|李花|梅|江|疏影|细雨|雪|风,东风|山|春|风,江梅|雨,恨|李花|梅|江|疏影|细雨|雪,4,6,6,11
304,遣 兴,梨花,春|冬|天|秋风|月,梨花|严霜|高高|秋风|月,原|叶|客|月|梨花|秋风|霜,月|梨花|秋风,严霜|高高,原|叶|客|霜,3,5,5,7
305,梨 花,梨花,春|风|月|春暮|秋晴|竹径|天,风|梨花|寂寞|春暮|素月|无尘|春|天,人|天|孤|寂寞|恨|春|暮|月|梨花|玉|芳|雪|露|风|香,天|寂寞|春|梨花|风,无尘|春暮|素月,人|孤|恨|暮|月|玉|芳|雪|露|香,5,7,8,15
306,梨 花,梨花,春郊|寒食|月|园|雨,寒食|野路|江村|怅望|园|雨,人|寂|寒|枝|江|空|芳|蜂|酒|野|雨,雨,园|寒食|怅望|江村|野路,人|寂|寒|枝|江|空|芳|蜂|酒|野,1,5,6,11
307,梨 花,梨花,喜雪|春日书怀|雨,黄叶|好梦|酒楼|雨,愁|晓|枝|楼|酒|雨|雪|香|黄叶,雨|黄叶,好梦|酒楼,愁|晓|枝|楼|酒|雪|香,2,3,4,9
308,梨 花,梨花,江湖|冬雨|渔矶|烟|雨|春|月,清影|玉树|风雨|烟|雨|春|月,寒|春|暮|月|灯|烟|玉|莺|阁|雨|风,春|月|烟|雨,清影|玉树|风雨,寒|暮|灯|玉|莺|阁|风,4,7,7,11
309,咏池上梨花,梨花,春郊|浦|春|星,细草|水间|春|星,夕|春|水|流|芳|草|雪,春,星|水间|细草,夕|水|流|芳|草|雪,1,4,4,7
310,左掖梨花,梨花,尘|风,黄莺|风,草|风|黄莺,风|黄莺,,草,2,2,2,3
311,梨 花,梨花,残星|送春|春暮|云|月|尘|春,五更|留连|风花|云|月|尘|春,云|五更|春|月|流|花|风,云|五更|春|月,尘|留连|风花,流|花|风,4,7,7,7
312,鄂杜郊居,梨花,月|上元|寒食|渔矶|春,寂寞|游人|寒食|风雨|梨花,人|夜|寂寞|寒|梨花|芳|雨|风,寂寞|梨花,寒食|游人|风雨,人|夜|寒|芳|雨|风,2,5,5,8
313,和孔密州东栏梨花,梨花,清明|早春|冬雨|月影,梨花淡白|深青|柳絮|一株|清明,人|柳|梨花|清明|花|雪,清明,一株|柳絮|梨花淡白|深青,人|柳|梨花|花|雪,1,4,5,6
