ID,诗名,花名,sxhy_heading,sxhy_raw_words,manual_imagery,共有原词,仅诗学含英原词,仅手工词典,共有词数,sxhy_heading_数,sxhy_raw词数,manual词数
770,水龙吟蓼花,蓼花,风|秋色|云|夏夜|斜阳|秋|水|虹|桥|江,风|幽姿|点缀|烟景|斜阳|秋|水|虹|桥|江,兰|冷|幽|枝|桥|水|江南|湖|烟|秋|花|莲|虹|风|香,桥|水|秋|虹|风,幽姿|斜阳|江|点缀|烟景,兰|冷|幽|枝|江南|湖|烟|花|莲|香,5,10,10,15
771,鸡冠花.,鸡冠花,秋光|曝日|风|罗,秋光|晓景|风|罗,晓|枝|秋|露|风,风,晓景|秋光|罗,晓|枝|秋|露,1,4,4,5
772,白鸡冠,鸡冠花,天|春|云,瑶台|春|云,云|台|春|根|玉,云|春,瑶台,台|根|玉,2,3,3,5
773,咏鸡冠花,鸡冠花,秋光|月影|残星|雷,秋光|婆娑|五更|一声,五更|叶|秋,五更,一声|婆娑|秋光,叶|秋,1,4,4,3
774,题画鸡冠花,鸡冠花,雷|霞|立秋|天,一声|绛云|立秋|天,云|亭|天|白霜|秋,天,一声|立秋|绛云,云|亭|白霜|秋,1,4,4,5
775,牵牛花,牵牛花,药园|石桥|新月|冬日,初移|玉栏|天边|向晓,人|人间|天|晓|玉|银,,初移|向晓|天边|玉栏,人|人间|天|晓|玉|银,0,4,4,6
776,牵牛花(其一),牵牛花,罗,罗,喜|竹,,罗,喜|竹,0,1,1,2
777,牵牛花(其二),牵牛花,衡山|秋风|秋,芙蓉|秋风|秋,愁|晓|欢|秋|秋风|芙蓉,秋|秋风|芙蓉,,愁|晓|欢,3,3,3,6
778,牵牛花,牵牛花,七夕|星|云,河鼓|天孙|云,云|天|河|花|芳|蔓|香|鼓,云,天孙|河鼓,天|河|花|芳|蔓|香|鼓,1,3,3,8
779-01,牵牛花,牵牛花,池|星|秋,流泉|天孙|秋,天|泉|泪|流|相思|秋|花|蔓|藤,秋,天孙|流泉,天|泉|泪|流|相思|花|蔓|藤,1,3,3,9
779-02,紫 薇,紫薇,夏日|假山|秋|云|山|池,夏日|窗外|秋|云|山|池,云|凤|夏|山|日|枝|秋|紫薇|花|锦,云|山|秋,夏日|池|窗外,凤|夏|日|枝|紫薇|花|锦,3,6,6,10
780,紫薇花,紫薇,残夏|春寒|园|春|风,迎秋|桃李无言|园|春|风,人|春|枝|桃|秋|露|风,春|风,园|桃李无言|迎秋,人|枝|桃|秋|露,2,5,5,7
781,紫 薇,紫薇,天|霞,天|霞,天涯|少年|楼|流|花|霞|鼓,霞,天,天涯|少年|楼|流|花|鼓,1,2,2,7
782,同儿曹赋芦花,芦花,天|月|秋声|江|风|雨|沙|园,苍苍|秋声|千里|天|江|风|雨|月|沙|园,千里|夜色|天|月|杏|江|沙|渚|秋|花|雨|风,千里|天|月|江|沙|雨|风,园|秋声|苍苍,夜色|杏|渚|秋|花,7,8,10,12
783,芦 花,芦花,风|秋光|如昼|秋|冬雨|河汉|江|天|月|水,萧萧|秋光|半夜|渔笛|玉树|分明|江|风|天|月|水,人|夜|天|岸|愁|月|枝|水|江|洲|玉|秋|笛|雁|雪|霜|风|香,天|月|水|江|风,分明|半夜|渔笛|玉树|秋光|萧萧,人|夜|岸|愁|枝|洲|玉|秋|笛|雁|雪|霜|香,5,10,11,18
784,芦花,芦花,夏夜|沙,月明|沙,岸|月|枝|沙|浪|花|雪,沙,月明,岸|月|枝|浪|花|雪,1,2,2,7
785,渔 翁,芦花,新秋|秋|日|沙|溪,晚风|芦花|日|沙|溪,日|沙|溪|芦花|酒|雪|风|鱼,日|沙|溪|芦花,晚风,酒|雪|风|鱼,4,5,5,8
786,葵,向日葵,天文类|园|雨,向阳|园|雨,草|雨|露,雨,向阳|园,草|露,1,3,3,3
787,秋日杂兴,向日葵,夏|新秋,葵叶|晚风,叶|寂|珠|花|菊|露|风,,晚风|葵叶,叶|寂|珠|花|菊|露|风,0,2,2,7
788,秋 葵,向日葵,新秋|秋|江湖|日,西风|惨淡|黄昏|日,日|暮|花|西风|黄昏,日|西风|黄昏,惨淡,暮|花,3,4,4,5
789,金钗股,金银花,山|云|江湖|雾|烟,出云|随意|暗香|雾|烟,云|暗香|烟|金|银|雾|香|高士,暗香|烟|雾,出云|随意,云|金|银|香|高士,3,5,5,8
790,金银花,金银花,果园|祥云|春晴,满架|纷纷|物态,人|凉|花|蜂|蝶|金|银|香,,满架|物态|纷纷,人|凉|花|蜂|蝶|金|银|香,0,3,3,8
791,曼陀罗,曼陀罗,春晓|秋风|天,秋风|烟迷|晓月|天,天上|晓|月|烟|玉|秋风|金|露|香,秋风,天|晓月|烟迷,天上|晓|月|烟|玉|金|露|香,1,3,4,9
792,春桂问答二首,桂花,春|寒食雨|春日书怀|苦寒|秋暮,春|桃李|年光|风霜|摇落,春|桂|桃|芬|花|霜|风,春,年光|摇落|桃李|风霜,桂|桃|芬|花|霜|风,1,5,5,7
793,咏 桂,桂花,寒食雨|秋|春风|秋兴|春日书怀|山|园,桃李|在金|春风|天霜|绿叶|山|园,人|南山|叶|天|春风|根|桂|桃|芳|金|霜,春风,园|在金|天霜|山|桃李|绿叶,人|南山|叶|天|根|桂|桃|芳|金|霜,1,7,7,11
794,临轩桂,桂花,送春|不见|春日书怀|秋风|山,残红|不见|憔悴|秋风|山,人|山|幽|桂|秋风|芳|鸟,山|秋风,不见|憔悴|残红,人|幽|桂|芳|鸟,2,5,5,7
795,谢人寄双桂树子,桂花,秋径|山|秋,晓露|山|秋,客|山|岩|幽|晓|根|秋|繁花|芳|谷|露,山|秋,晓露,客|岩|幽|晓|根|繁花|芳|谷|露,2,3,3,11
796,桂 花,桂花,残月|秋光|春晓|旅中寒食|风|月|园,影淡|秋光|玉绳低|归梦|风|月|园,夜|帘|故园|月|桂花|玉|秋|金|风|香,月|风,园|归梦|影淡|玉绳低|秋光,夜|帘|故园|桂花|玉|秋|金|香,2,7,7,10
797,山中桂,桂花,春|春晓|新秋|山|石,日暖|鸟啼|晚风|山|春|石,人|冷|山|幽|日|春|暖|石|风|鸟,山|春|石,日暖|晚风|鸟啼,人|冷|幽|日|暖|风|鸟,3,5,6,10
798,岩 桂,桂花,秋风|春雨|云|江|风,萧瑟|园花|云|江|风,云|叶|岩|幽|枝|桂|江|玉|瑟|花|风,云|江|风,园花|萧瑟,叶|岩|幽|枝|桂|玉|瑟|花,3,5,5,11
799,岩 桂,桂花,候|观涨|水帘|竹溪|天,亭亭|千层|万点|云影|天,云|亭|叶|天|岩|桂|空|芬|花开|芳|香,天,万点|云影|亭亭|千层,云|亭|叶|岩|桂|空|芬|花开|芳|香,1,5,5,11
800,八月十七日天竺山送桂花分贈元素,桂花,夏|月|山|涧,溪女|月|山|涧,夜|孤|山|峰|幽|月|枝|涧|溪|玉|空|花|芳|霜,山|月|涧,溪女,夜|孤|峰|幽|枝|溪|玉|空|花|芳|霜,3,4,4,14
801,昨日访子上不遇，徘徊庭砌，观木犀而归，再以七言乞数枝,桂花,庐山|秋色|云|地|水,岩花|秋色|云|地|水,云|关|地|岩|水|秋色|花|金,云|地|水|秋色,岩花,关|岩|花|金,4,5,5,8
802,岩 桂,桂花,远山|月|山,一点|月|山,人间|寒|山|月|香,山|月,一点,人间|寒|香,2,3,3,5
803,月 桂,桂花,春风|月|雨,开花|月|雨,冰|月|花开|雨|雪|露,月|雨,开花,冰|花开|雪|露,2,3,3,6
804,东城桂,桂花,天|风,天|风,人间|天|根|风,天|风,,人间|根,2,2,2,4
805,双桂咏,桂花,风|山|石,萧萧|山|石,山|根|洲|石,山|石,萧萧,根|洲,2,3,3,4
806,天竺寺八月十五日夜桂子,桂花,端午|月,天中|月,人|天|月|玉|露,月,天中,人|天|玉|露,1,2,2,5
807,微雨中赏月桂独酌,桂花,雨|月桂|天|风,月桂|霏霏|天|风|雨,人间|壶|天|暮|月|桂花|流|雨|风,天|雨|风,月桂|霏霏,人间|壶|暮|月|桂花|流,3,4,5,9
808,凝露堂木犀,桂花,河汉|月|风,银河|月|风,凤|寒|帘|月|河|空|银|风|香,月|风,银河,凤|寒|帘|河|空|银|香,2,3,3,9
809,桂花二首,桂花,月|新秋|秋色|春晴|园|喜雪|天,月|西风|秋色|花心|好花|清秋|天,书|人|人间|天上|月|枝|秋|秋色|花|芳|西风|香,月|秋色|西风,天|好花|清秋|花心,书|人|人间|天上|枝|秋|花|芳|香,3,7,7,12
810,咏岩桂,桂花,新秋|秋光|上元遇雪|天,西风|秋光|六出|天,夜|天|秋|花|西风|雪|霜|香,天|西风,六出|秋光,夜|秋|花|雪|霜|香,2,4,4,8
811,浣溪沙,桂花,月桂|庐山|春日书怀|岛屿|新秋|武夷山|曝日|月,玉枝|碧纱|梦魂|晓风|新凉|画栏|素娥|月,凉|恨|晓风|月|枝|玉|香,晓风|月,新凉|梦魂|玉枝|画栏|碧纱|素娥,凉|恨|枝|玉|香,2,8,8,7
812,绍兴戊午姑苏郡斋怀归赋,桂花,月|悲秋|山|旅中寒食|秋风|沙|云,清似水|月冷|玉笋|归梦|秋风|江头|云,云|冷|夜|月|林|水|江|玉|秋风|花|蔷薇|露|香,云|秋风,归梦|月冷|江头|清似水|玉笋,冷|夜|月|林|水|江|玉|花|蔷薇|露|香,2,7,7,13
813,霜天晓角,桂花,云|月,云|月,云|叶|月|玉|花|金|露|香,云|月,,叶|玉|花|金|露|香,2,2,2,8
814,清平乐,桂花,石洞|河|月|江|风|日|水,山腰|千年|月|江|风|日|水,人|孤|山|幽|恨|日|月|枝|水|江南|风,日|月|水|风,千年|山腰|江,人|孤|山|幽|恨|枝|江南,4,7,7,11
815,清平乐,桂花,重九|冬风|夏夜|园|日|远山|水|烟|秋|天|风,痛饮|吴江|明月|树影|十里|一点|水|烟|秋|天|风,人间|冷|天|少年|明月|水|江|烟|秋|芬|芳|露|风|香,天|明月|水|烟|秋|风,一点|十里|吴江|树影|痛饮,人间|冷|少年|江|芬|芳|露|香,6,11,11,14
816,水调歌头,桂花,天|秋|月|月桂|秋日|寒食雨|园|探春|远山|泉|尘|秋郊|山|云,天|秋|月|金粟|玉露|人愁|买花|载酒|一点|万斛|逐人|风满袖|缥缈|云,云|人|凤|夜|天|天上|寒|少年|愁|月|楼|横笛|流|玉|秋|花|蝴蝶|酒|金|露|风|香,云|天|月|秋,一点|万斛|买花|人愁|玉露|缥缈|载酒|逐人|金粟|风满袖,人|凤|夜|天上|寒|少年|愁|楼|横笛|流|玉|花|蝴蝶|酒|金|露|风|香,4,14,14,22
817,古香慢,桂花,秋|游山|秋日|残月|远水|霞|重九|桥|日|月|水|山|尘|雨,秋|倚竹|金风|残云|浩渺|残照|重阳|桥|日|月|水|山|尘|雨,云|冷|夜|寒|山|怨|日|暮|月|林|柳|桥|水|珠|秋|竹|细雨|苦|重阳|金|霜|露|风,山|日|月|桥|水|秋|重阳,倚竹|尘|残云|残照|浩渺|金风|雨,云|冷|夜|寒|怨|暮|林|柳|珠|竹|细雨|苦|金|霜|露|风,7,14,14,23
818,黄蜀葵,秋葵,江湖|重九|雨|野|秋,幽香|金盏|风引|野|秋,人|幽香|愁|枝|秋|野|金|露|风,幽香|秋|野,金盏|风引,人|愁|枝|金|露|风,3,5,5,9
819,黄蜀葵,秋葵,喜雪,黄叶,叶|花|黄叶,黄叶,,叶|花,1,1,1,3
820,黄葵,秋葵,秋风|天,秋风|天,人|天上|秋风|花,秋风,天,人|天上|花,1,2,2,4
821,黄蜀葵花,秋葵,如昼|月影|虹,金色|透竹|美人,书|叶|竹|美人|花|金,美人,透竹|金色,书|叶|竹|花|金,1,3,3,6
822,秋，,秋葵,游春|新秋|秋晚|秋|罗,倾城|西风|残阳|秋|罗,秋|西风,秋|西风,倾城|残阳|罗,,2,5,5,2
823,黄蜀葵,秋葵,渔矶|秋,风雨|秋,兰|愁|杯|流|秋|菊|雨|风,秋,风雨,兰|愁|杯|流|菊|雨|风,1,2,2,8
824,菩萨蛮,秋葵,暮冬|秋|天|云,迎春|秋|天|云,云|天|杯|秋|花|迎春|金|露,云|天|秋|迎春,,杯|花|金|露,4,4,4,8
825,园榭秋光都占尽， 故应冰雪有奇文。,秋兰,秋|江湖,凉风|幽香|秋,关|凉|帘|幽香|秋兰|风,幽香,凉风|秋,关|凉|帘|秋兰|风,1,2,3,6
826,题郑所南兰,秋兰,秋风|泉,秋风|凄凉|泉,兰|凉|墨|泉|泪|秋风,泉|秋风,凄凉,兰|凉|墨|泪,2,2,3,6
827,滴滴金,滴滴金,喜雪|河汉|沙|石洞|星|天,九秋|月娥|风吹|野人|星|天,人|天|月|桂花|秋|花|野|露|风,天,九秋|星|月娥|野人|风吹,人|月|桂花|秋|花|野|露|风,1,6,6,9
828,金钱花,金钱花,地,地,人间|地|炉|金,地,,人间|炉|金,1,1,1,4
829,咏金钱花,金钱花,秋光,秋光,秋|芳|豪,,秋光,秋|芳|豪,0,1,1,3
830,金钱花,金钱花,山|风,山|风,人|山|空|露|风,山|风,,人|空|露,2,2,2,5
831,采莲曲,蘋花,秋日书怀|江湖|溪|风,单衣|凌波|溪|风,叶|桨|波|溪|蘋花|风|香,溪|风,凌波|单衣,叶|桨|波|蘋花|香,2,4,4,7
832,蘋 花,蘋花,月|秋风|云|十四夜月,千里|秋风|南浦|一夕,千里|南浦|叶|夕|湖|秋风|花|金,千里|南浦|秋风,一夕,叶|夕|湖|花|金,3,4,4,8
848-01,汝济夜过同以行对菊花,菊花,秋暮|春雨|渔矶|地|江|山,摇落|生春|风雨|地|江|山,地|夜|山|春风|江|灯|花|芳|酒|雨,地|山|江,摇落|生春|风雨,夜|春风|灯|花|芳|酒|雨,3,6,6,10
849-01,前菊会,菊花,山|风|雨,山|苍梧|雨,南山|壶|孤|山|幽|梧|细雨|菊|酒,山,苍梧|雨,南山|壶|孤|幽|梧|细雨|菊|酒,1,3,3,9
850-01,九 日,菊花,重九|秋|春雨|早春|待月|日|野|云|沙,重阳|菊开|园花|天寒|登临|日|野|云|沙,云|今日|天|寒|故园|沙|花|菊|酒|重阳|野|雁,云|沙|重阳|野,园花|天寒|日|登临|菊开,今日|天|寒|故园|花|菊|酒|雁,4,9,9,12
851-01,同程穆倩访周元亮司农，留饮寓园观菊，兼示所藏书册,菊花,秋兴|雨|秋|山,寒花|入夜|秋|山,夜|寒|山|灯|秋|花|酒|香,山|秋,入夜|寒花,夜|寒|灯|花|酒|香,2,4,4,8
852-01,酬皇甫郎中对新菊花见忆,菊花,秋晴|松风|悲秋|春日书怀|雨|秋|重九|除日立春,逸韵|悲秋|黄花|携酒|红叶|添愁|东篱|重阳|一日,东篱|人|客|悲|愁|日|杯|秋|红叶|花|菊|酒|重阳,东篱|红叶|重阳,一日|悲秋|携酒|添愁|逸韵|黄花,人|客|悲|愁|日|杯|秋|花|菊|酒,3,8,9,13
853-01,刘员外寄移菊,菊花,尘|远水|蔬园|重九|秋|地|风,逐人|烟含|栽培|重阳|秋|地|风,人|叶|地|寒|流|烟|秋|重阳|露|风|香,地|秋|重阳|风,栽培|烟含|逐人,人|叶|寒|流|烟|露|香,4,7,7,11
854-01,和鲁望白菊,菊花,重九|喜雪|秋径|月|天,重阳|千点|寒烟|月|天,天|寒|月|烟|玉|花|重阳|金|香,天|月|重阳,千点|寒烟,寒|烟|玉|花|金|香,3,5,5,9
855-01,戏题菊花,菊花,元日|秋晚|春风|除夜|清明|地|天,春初|秋晚|开花|终年|花落|地|天,人|地|壶|天|春|根|秋|花|花落|草|菊,地|天|花落,开花|春初|秋晚|终年,人|壶|春|根|秋|花|草|菊,3,7,7,11
856-01,晚香轩,菊花,游春|重九|秋色|秋日即|上巳|地|雨,畏风|重阳|秋色|人醉|山翁|赋诗|地|雨,人|地|寒|山|幽|秋色|翁|蝶|轩|重阳|雨|霜|风|香,地|秋色|重阳|雨,人醉|山翁|畏风|赋诗,人|寒|山|幽|翁|蝶|轩|霜|风|香,4,7,8,14
857-01,晚香轩,菊花,关隘|秋晴|上元|春风|新秋|月影|沙|雨|水|天,知老子|黄花|家家|开花|西风|一株|沙|雨|水|天,天|水|沙|细雨|花|西风|香,天|水|沙|西风,一株|家家|开花|知老子|雨|黄花,细雨|花|香,4,10,10,7
858-01,六月菊,菊花,秋|新秋|夏日|悲秋|江湖|伏|冬雨,东篱|西风|夏日|一灯|照影|六月|冷艳|秋,东篱|冷|夏|寒|愁|日|月|枝|灯|秋|莲|菊|西风|霜|香,东篱|秋|西风,一灯|六月|冷艳|夏日|照影,冷|夏|寒|愁|日|月|枝|灯|莲|菊|霜|香,3,7,8,15
859-01,菊花诗,菊花,日|秋山|寒食雨|新秋|秋|春,五色|清高|桃李|西风|秋|春,人|冷|寒|春|桃|清高|秋|西风|陶令|霜,春|清高|秋|西风,五色|桃李,人|冷|寒|桃|陶令|霜,4,6,6,10
860-01,咏 菊,菊花,春|秋,春|秋,寒|崖|幽|春|秋霜|菊|露,春,秋,寒|崖|幽|秋霜|菊|露,1,2,2,7
861-01,江行无题(其四),菊花,旱|江,白日|江,江|白日|菊|馨,江|白日,,菊|馨,2,2,2,4
862-01,江行无题(其九),菊花,春,春,人|春|花|菊,春,,人|花|菊,1,1,1,4
863-01,残 菊,菊花,,,孤|金|香,,,孤|金|香,0,0,0,3
864-01,菊,菊花,秋色|秋径,幽姿|晓露,寒|幽|晓|暮|露,,幽姿|晓露,寒|幽|晓|暮|露,0,2,2,5
865-01,菊 躁,菊花,山,山,南山|寒|暮|林|酒|露|香,,山,南山|寒|暮|林|酒|露|香,0,1,1,7
866-01,对 菊,菊花,雪意|新秋|浦|秋晴|秋,淅淅|西风|江边|黄花|秋,江|秋|花|西风,秋|西风,江边|淅淅|黄花,江|花,2,5,5,4
867-01,周镐送白菊乞诗(其一),菊花,秋晴|园|雨|江,清风|园|雨|江,江|玉|细雨|金|陶令|风,江,园|清风|雨,玉|细雨|金|陶令|风,1,4,4,6
868-01,周镐送白菊乞诗(其二),菊花,,,枝|相思|芳,,,枝|相思|芳,0,0,0,3
869-01,菊 花,菊花,秋|日,秋|日,日|秋|花|花开|菊,日|秋,,花|花开|菊,2,2,2,5
870-01,华下对酒,菊花,月桂|春风,清香|春风,人|春风|清香|玉|空|酒|镜|露,春风|清香,,人|玉|空|酒|镜|露,2,2,2,8
871-01,庭前菊,菊花,立春|重九,栽红|龙山,兰|山|酒|龙,,栽红|龙山,兰|山|酒|龙,0,2,2,4
872-01,题菊花,菊花,新秋|春|春雨,西风|青帝|桃花,冷|寒|桃花|蝶|西风|香,桃花|西风,青帝,冷|寒|蝶|香,2,3,3,6
873-01,菊 花,菊花,清明|秋|月|天,百花|秋|月|天,天|月|秋|花|花开|金|香,天|月|秋,百花,花|花开|金|香,3,4,4,7
874-01,咏 菊,菊花,重九|秋,重阳|秋,秋|花|菊|蜂|酒|重阳,秋|重阳,,花|菊|蜂|酒,2,2,2,6
875-01,城东寺菊,菊花,秋晴|云|秋,黄花|漠漠|秋,枝|秋|花|蜂,秋,漠漠|黄花,枝|花|蜂,1,3,3,4
876-01,残 菊,菊花,江湖|渔矶|喜雪|秋兴|水|天|春晴,黄昏|风雨|园林|残菊|满地|得一|花心,地|林|枝|花|菊|金|雨|风|黄昏,黄昏,园林|得一|残菊|满地|花心|风雨,地|林|枝|花|菊|金|雨|风,1,7,7,9
877-01,黄 花,菊花,立夏|渔矶|秋色|秋晴|月,芍药|风波|秋色|黄花|月,月|波|秋色|芍药|花|苦|风,月|秋色|芍药,风波|黄花,波|花|苦|风,3,5,5,7
878-01,重阳后看菊花,菊花,月|秋|地|重九|除日立春,寂寞|东篱|泥沙|重阳|一日,东篱|寂寞|日|沙|花|重阳|金|露,东篱|寂寞|重阳,一日|泥沙,日|沙|花|金|露,3,5,5,8
879-01,枯 菊,菊花,祥云|流水|春雨,纷纷|流水|桃花,枝|桃花|流水|空|金,桃花|流水,纷纷,枝|空|金,2,3,3,5
880-01,菊,菊花,春色|新秋|春,花艳|西风|春,春|渊|花|西风,春|西风,花艳,渊|花,2,3,3,4
881-01,咏 菊,菊花,秋风|重九|秋晴,秋风|重阳|黄花,客|秋风|花|酒|重阳,秋风|重阳,黄花,客|花|酒,2,3,3,5
882-01,咏 菊(其一),菊花,秋风|远水|秋晴|雨|春日书怀|风|水|渡|地,落叶|茫茫|黄花|点点|离愁|风|水|渡|地,乐|地|水|渡|离愁|花|落叶|风,地|水|渡|离愁|落叶|风,点点|茫茫|黄花,乐|花,6,9,9,8
883-01,咏 菊(其二),菊花,探春|暮冬|秋|秋光|冬雨|山|园|春,载酒|江梅|菊花|秋光|带雨|山|园|春,台|山|春|梅|江|秋|菊花|酒|雨|雪,山|春|菊花,园|带雨|江梅|秋光|载酒,台|梅|江|秋|酒|雨|雪,3,8,8,10
884-01,画 菊,菊花,清明|苦寒,百花|北风,枝|花|花开|风|香,,北风|百花,枝|花|花开|风|香,0,2,2,5
885-01,九 日,菊花,秋|春晴|秋晴|春日书怀|雨|山,天容|黄花|憔悴|东篱|雨|山|秋,东篱|冷|天|山|流|秋|花|雨,东篱|山|秋|雨,天容|憔悴|黄花,冷|天|流|花,4,6,7,8
886-01,酴醾菊,菊花,游春|秋|秋风|风,人醉|东篱|秋风|风,东篱|人|冷|夜|秋风|翁|酒|金|雪|风|香,东篱|秋风|风,人醉,人|冷|夜|翁|酒|金|雪|香,3,4,4,11
887-01,九日月中对菊，同禧伯郎中赋,菊花,夏日|曝日|雪意|游山,清光|素娥|寒露|幽人,人|寒露|幽|杯|花|苦|金,寒露,幽人|清光|素娥,人|幽|杯|花|苦|金,1,4,4,7
888-01,九月八日对菊,菊花,秋晴|渔矶,黄花|风雨,人|杯|花|雨|风,,风雨|黄花,人|杯|花|雨|风,0,2,2,5
833,和郭主簿二首(其二),菊花,秋|蔬园|秋日|夏夜|暮冬|游山|立冬|春,露凝|天高|风景|菊开|岩列|幽人|良月|春|秋,人|凉|天|岩|峰|幽|春|月|林|秋|芳|菊|霜|露|青松|风,春|秋,天高|岩列|幽人|良月|菊开|露凝|风景,人|凉|天|岩|峰|幽|月|林|芳|菊|霜|露|青松|风,2,8,9,16
834,饮 酒（其五）,菊花,山|寒食雨|重九|秋|秋山|地|日,山|无车马|采菊|东篱|夕佳|地|日,东篱|人|南山|地|夕|山|日|菊|马|鸟,东篱|地|山|日,夕佳|无车马|采菊,人|南山|夕|菊|马|鸟,4,7,7,10
835,舟上采菊,菊花,浦|春郊|秋|月,汀洲|白露|秋|月,夜|寒|洲|流|白露|秋月|芳|菊|酒,白露,月|汀洲|秋,夜|寒|洲|流|秋月|芳|菊|酒,1,4,4,9
836,黄菊有至性,菊花,星|月|江|蔬园|日|秋,光辉|积阴|滔天|霜露|日|秋,天|孤|日|秋|芳|草|菊|霜|露,日|秋,光辉|滔天|积阴|霜露,天|孤|芳|草|菊|霜|露,2,6,6,9
837,菊 花,菊花,秋|祥云,菊花|纷纷,书|人|冰|寒|幽|枝|渊|芬|芳|菊花|酒|霜,菊花,纷纷,书|人|冰|寒|幽|枝|渊|芬|芳|酒|霜,1,2,2,12
838,菊二首(其二),菊花,秋|游山|冬雨|道路|风|河|秋暮,菊花|幽人|梅花|道路|故人|万里|菊枝,万里|书|人|冰|寒|幽|故人|枝|梅花|烈|菊|菊花|雪,万里|故人|梅花|菊花,幽人|菊枝|道路,书|人|冰|寒|幽|枝|烈|菊|雪,4,7,7,13
839,墨菊二首(其二),菊花,孤峰|寒食雨,孤标|桃李,人|孤|桃|空|花|菊|香,,孤标|桃李,人|孤|桃|空|花|菊|香,0,2,2,7
840,采菊篇,菊花,重九|春晓|日|秋|罗|山,采菊|露湿|日|秋|罗|山,山|日|珠|秋|草|菊|露,山|日|秋,罗|采菊|露湿,珠|草|菊|露,3,6,6,7
841,山园草间菊数枝开，席地独酌,菊花,秋径|不见|华山|地|日|野,草荒|不见|太白|地|日|野,人|地|日|林|枝|花|草|菊|蔓|酒|野|金,地|日|野,不见|太白|草荒,人|林|枝|花|草|菊|蔓|酒|金,3,6,6,12
842,感 遇,菊花,秋,东篱,东篱|兰|叶|芳|菊|酒|露,东篱,,兰|叶|芳|菊|酒|露,1,1,1,7
843,万年厉员外宅赏残菊,菊花,重九|雨,重阳|雨,人|今朝|寒|苦|蝶|重阳|陶令|雨|霜|香,重阳|雨,,人|今朝|寒|苦|蝶|陶令|霜|香,2,2,2,10
844,菊,菊花,雨|秋晚|罗,暗淡|残阳|罗,玉|金|陶令|露|香,,暗淡|残阳|罗,玉|金|陶令|露|香,0,3,3,5
845,对菊有怀郎祖仁,菊花,雨|秋|假山|重九|月桂|潮|如昼,菊花|秀色|三秋|清香|扁舟|今夜|江云|雨,云|夜雨|扁舟|江|清香|秋|菊花|金,扁舟|清香|菊花,三秋|今夜|江云|秀色|雨,云|夜雨|江|秋|金,3,7,8,8
846,王公子宅五丹菊,菊花,秋|夏|雨|霞,秋|夏|雨|霞,喜|夏|寒|暮|秋|竹|花|雨|霞,夏|秋|雨|霞,,喜|寒|暮|竹|花,4,4,4,9
847,八月二十八日子容过对菊,菊花,秋日书怀|渔矶|重九|春郊,异乡|风雨|重阳|秋树,异乡|暮|秋|花|芳|蝉|重阳|雨|风,异乡|重阳,秋树|风雨,暮|秋|花|芳|蝉|雨|风,2,4,4,9
848-02,汝济夜过同以行对菊花,菊花,秋暮|春雨|渔矶|地|江|山,摇落|生春|风雨|地|江|山,地|夜|山|春风|江|灯|花|芳|酒|雨,地|山|江,摇落|生春|风雨,夜|春风|灯|花|芳|酒|雨,3,6,6,10
849-02,前菊会,菊花,山|风|雨,山|苍梧|雨,南山|壶|孤|山|幽|梧|细雨|菊|酒,山,苍梧|雨,南山|壶|孤|幽|梧|细雨|菊|酒,1,3,3,9
850-02,九 日,菊花,重九|秋|春雨|早春|待月|日|野|云|沙,重阳|菊开|园花|天寒|登临|日|野|云|沙,云|今日|天|寒|故园|沙|花|菊|酒|重阳|野|雁,云|沙|重阳|野,园花|天寒|日|登临|菊开,今日|天|寒|故园|花|菊|酒|雁,4,9,9,12
851-02,同程穆倩访周元亮司农，留饮寓园观菊，兼示所藏书册,菊花,秋兴|雨|秋|山,寒花|入夜|秋|山,夜|寒|山|灯|秋|花|酒|香,山|秋,入夜|寒花,夜|寒|灯|花|酒|香,2,4,4,8
852-02,酬皇甫郎中对新菊花见忆,菊花,秋晴|松风|悲秋|春日书怀|雨|秋|重九|除日立春,逸韵|悲秋|黄花|携酒|红叶|添愁|东篱|重阳|一日,东篱|人|客|悲|愁|日|杯|秋|红叶|花|菊|酒|重阳,东篱|红叶|重阳,一日|悲秋|携酒|添愁|逸韵|黄花,人|客|悲|愁|日|杯|秋|花|菊|酒,3,8,9,13
853-02,刘员外寄移菊,菊花,尘|远水|蔬园|重九|秋|地|风,逐人|烟含|栽培|重阳|秋|地|风,人|叶|地|寒|流|烟|秋|重阳|露|风|香,地|秋|重阳|风,栽培|烟含|逐人,人|叶|寒|流|烟|露|香,4,7,7,11
854-02,和鲁望白菊,菊花,重九|喜雪|秋径|月|天,重阳|千点|寒烟|月|天,天|寒|月|烟|玉|花|重阳|金|香,天|月|重阳,千点|寒烟,寒|烟|玉|花|金|香,3,5,5,9
855-02,戏题菊花,菊花,元日|秋晚|春风|除夜|清明|地|天,春初|秋晚|开花|终年|花落|地|天,人|地|壶|天|春|根|秋|花|花落|草|菊,地|天|花落,开花|春初|秋晚|终年,人|壶|春|根|秋|花|草|菊,3,7,7,11
856-02,晚香轩,菊花,游春|重九|秋色|秋日即|上巳|地|雨,畏风|重阳|秋色|人醉|山翁|赋诗|地|雨,人|地|寒|山|幽|秋色|翁|蝶|轩|重阳|雨|霜|风|香,地|秋色|重阳|雨,人醉|山翁|畏风|赋诗,人|寒|山|幽|翁|蝶|轩|霜|风|香,4,7,8,14
