词,C3,C3_zh,C2,C1,词长
势不两立,criticize,批判指责,disgust,negative,4
勾心斗角,criticize,批判指责,disgust,negative,4
千呼万唤,criticize,批判指责,disgust,negative,4
半途而废,criticize,批判指责,disgust,negative,4
华而不实,criticize,批判指责,disgust,negative,4
卑躬屈膝,criticize,批判指责,disgust,negative,4
卑躬屈节,criticize,批判指责,disgust,negative,4
卖友求荣,criticize,批判指责,disgust,negative,4
卖官鬻爵,criticize,批判指责,disgust,negative,4
南郭处士,criticize,批判指责,disgust,negative,4
占为己有,criticize,批判指责,disgust,negative,4
即不及待,criticize,批判指责,disgust,negative,4
卷土重来,criticize,批判指责,disgust,negative,4
厚此薄彼,criticize,批判指责,disgust,negative,4
厚颜无耻,criticize,批判指责,disgust,negative,4
参差不齐,criticize,批判指责,disgust,negative,4
参差有致,criticize,批判指责,disgust,negative,4
及时行乐,criticize,批判指责,disgust,negative,4
反唇相讥,criticize,批判指责,disgust,negative,4
反常现象,criticize,批判指责,disgust,negative,4
变化多端,criticize,批判指责,disgust,negative,4
变化无常,criticize,批判指责,disgust,negative,4
变幻多样,criticize,批判指责,disgust,negative,4
变幻多端,criticize,批判指责,disgust,negative,4
变幻无常,criticize,批判指责,disgust,negative,4
变幻莫测,criticize,批判指责,disgust,negative,4
变得模糊,criticize,批判指责,disgust,negative,4
变本加厉,criticize,批判指责,disgust,negative,4
叛逆思想,criticize,批判指责,disgust,negative,4
叠床架屋,criticize,批判指责,disgust,negative,4
口如悬河,criticize,批判指责,disgust,negative,4
口腹之欲,criticize,批判指责,disgust,negative,4
另起炉灶,criticize,批判指责,disgust,negative,4
可恶的事,criticize,批判指责,disgust,negative,4
叽叽喳喳,criticize,批判指责,disgust,negative,4
各为其主,criticize,批判指责,disgust,negative,4
吆五喝六,criticize,批判指责,disgust,negative,4
同日而语,criticize,批判指责,disgust,negative,4
同气相求,criticize,批判指责,disgust,negative,4
同流合污,criticize,批判指责,disgust,negative,4
名不副实,criticize,批判指责,disgust,negative,4
名存实亡,criticize,批判指责,disgust,negative,4
吞吞吐吐,criticize,批判指责,disgust,negative,4
听之任之,criticize,批判指责,disgust,negative,4
听而不闻,criticize,批判指责,disgust,negative,4
吹毛求疵,criticize,批判指责,disgust,negative,4
呕心呖血,criticize,批判指责,disgust,negative,4
咄咄逼人,criticize,批判指责,disgust,negative,4
咎由自取,criticize,批判指责,disgust,negative,4
哗众取宠,criticize,批判指责,disgust,negative,4
善罢甘休,criticize,批判指责,disgust,negative,4
喜怒无常,criticize,批判指责,disgust,negative,4
喜新厌旧,criticize,批判指责,disgust,negative,4
嗤之以鼻,criticize,批判指责,disgust,negative,4
嘀嘀咕咕,criticize,批判指责,disgust,negative,4
嚣张跋扈,criticize,批判指责,disgust,negative,4
囚首丧面,criticize,批判指责,disgust,negative,4
四分五裂,criticize,批判指责,disgust,negative,4
回光反照,criticize,批判指责,disgust,negative,4
图谋不轨,criticize,批判指责,disgust,negative,4
土崩水溃,criticize,批判指责,disgust,negative,4
土崩瓦解,criticize,批判指责,disgust,negative,4
地主阶级,criticize,批判指责,disgust,negative,4
地位低下,criticize,批判指责,disgust,negative,4
地狱变相,criticize,批判指责,disgust,negative,4
坏人当道,criticize,批判指责,disgust,negative,4
坚决主张,criticize,批判指责,disgust,negative,4
垂头丧气,criticize,批判指责,disgust,negative,4
墨守陈规,criticize,批判指责,disgust,negative,4
声名狼藉,criticize,批判指责,disgust,negative,4
声色犬马,criticize,批判指责,disgust,negative,4
声色狗马,criticize,批判指责,disgust,negative,4
处心积虑,criticize,批判指责,disgust,negative,4
复杂多变,criticize,批判指责,disgust,negative,4
大兴土木,criticize,批判指责,disgust,negative,4
大声疾呼,criticize,批判指责,disgust,negative,4
大张旗鼓,criticize,批判指责,disgust,negative,4
大惊小怪,criticize,批判指责,disgust,negative,4
