external_id,name,price,currency,spec_text,color,unit,size,origin,care_instructions,image_url,image_local_path,product_url,stock_status,fetched_at
517288,兩頭百合 單辦 ——品種隨機粉色,46.0,HKD,"2支
5支
10支",,"2支
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517288,,2026-03-09 06:19:24
517287,三頭百合 單辦 ——品種隨機粉色,54.0,HKD,"2支
5支
10支",,"2支
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517287,,2026-03-09 06:19:33
517284,葉類 -金邊百合竹,85.0,HKD,,,,,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517284,,2026-03-09 06:19:40
517283,三頭百合 重辦 ——品種隨機白色,80.0,HKD,"2支
5支
10支",,"2支
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517283,,2026-03-09 06:19:48
517282,三頭百合 重辦 ——品種隨機粉色,90.0,HKD,"2支
5支
10支",,"2支
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517282,,2026-03-09 06:19:55
517281,多頭百合 重辦 ——品種隨機粉色,70.0,HKD,"2支
5支
10支",,"2支
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517281,,2026-03-09 06:20:04
517280,多頭百合 重辦 ——品種隨機白色,70.0,HKD,"2支
5支
10支",,"2支
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517280,,2026-03-09 06:20:11
517279,葉類 -魚尾葉,40.0,HKD,,,,,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517279,,2026-03-09 06:20:18
517276,多頭百合 單辦 ——品種隨機粉色,70.0,HKD,"2支
5支
10支",,"2支
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517276,,2026-03-09 06:20:41
517274,多頭百合 單辦 ——品種隨機黃色,70.0,HKD,"2支
5支
10支",,"2支
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517274,,2026-03-09 06:20:49
517273,多頭百合 單辦 ——品種隨機白色,70.0,HKD,"2支
5支
10支",,"2支
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517273,,2026-03-09 06:20:57
517261,配花 - 多頭千日紅,55.0,HKD,,,,,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517261,,2026-03-09 06:21:04
517257,龍柳,75.0,HKD,,,,,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517257,,2026-03-09 06:21:11
517256,玉蘭枝 約1m,120.0,HKD,,,,,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517256,,2026-03-09 06:21:19
517252,單頭玫瑰 - 豬豬小姐,120.0,HKD,"10枝
20支",,"10枝
20支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517252,,2026-03-09 06:21:26
517251,鮮花 - 唐菖蒲（劍蘭）-白色,90.0,HKD,,,,,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/517251,,2026-03-09 06:21:34
516946,鮮花 - 唐菖蒲（劍蘭）-黃色,90.0,HKD,,,,,,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/516946,,2026-03-09 06:21:41
516917,多頭玫瑰 - 折射,70.0,HKD,"3枝
5支
10支",,"3枝
5支
10支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/516917,,2026-03-09 06:21:48
516915,葉材- 八角金盤,55.0,HKD,,,,,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/516915,,2026-03-09 06:21:55
516912,單頭玫瑰 - 荔枝,140.0,HKD,"10枝
20支",,"10枝
20支",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/516912,,2026-03-09 06:22:02
516903,配花 - 重瓣 洋甘菊,45.0,HKD,"5枝
10枝",,"5枝
10枝",,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/516903,,2026-03-09 06:22:09
516895,鮮花 - 天鵝絨,80.0,HKD,,,,,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/516895,,2026-03-09 06:22:16
516892,鮮花 - 較剪蘭（香雪蘭）,75.0,HKD,,,,,廣州,,https://cms-static.cdn.91app.hk/images/original/67/410bf00c-2a34-46b8-84e7-71bbf6309319-1706089188-i345hgvyir_d.gif,,https://www.brighten.hk/SalePage/Index/516892,,2026-03-09 06:22:23
