ID,sample_id,花名,月份,朝代,作者,诗名,top20_words,top5_preview
702,100,虞美人,六月,宋,康与之,洞仙歌令,"[[""烟雨"", 0.5042], [""新妆"", 0.4813], [""断肠"", 0.4626], [""西风"", 0.3915], [""东风"", 0.3833]]",烟雨、新妆、断肠、西风、东风
703,101,虞美人,六月,宋,王沂孙,水龙吟,"[[""瑶台"", 0.3604], [""蛾眉"", 0.3604], [""真妃"", 0.3604], [""可惜"", 0.3405], [""解语"", 0.3405], [""酒醒"", 0.3124], [""相逢"", 0.3124], [""伫立"", 0.3124], [""凄凉"", 0.2925]]",瑶台、蛾眉、真妃、可惜、解语
706,102,虞美人,六月,金,元好问,迈陂塘,"[[""儿女"", 0.5078], [""私情"", 0.2815], [""生死"", 0.2815], [""红衣"", 0.266], [""无端"", 0.2539], [""夕阳"", 0.2539], [""狼藉"", 0.2539], [""鸳鸯"", 0.244], [""断肠"", 0.244], [""荷花"", 0.244], [""风雨"", 0.2357], [""人间"", 0.2065], [""西风"", 0.2065]]",儿女、私情、生死、红衣、无端
707,103,虞美人,六月,元,李冶,迈陂塘,"[[""藕丝"", 0.3758], [""私情"", 0.3758], [""翡翠"", 0.355], [""如许"", 0.3389], [""鸳鸯"", 0.3258], [""秋风"", 0.3258], [""寂寞"", 0.305], [""胭脂"", 0.2965], [""多情"", 0.2889]]",藕丝、私情、翡翠、如许、鸳鸯
708,104,虞美人,六月,宋,姜夔,念奴娇,"[[""荷花"", 0.4783], [""不见"", 0.462], [""荷叶"", 0.2759], [""舞衣"", 0.2759], [""绿云"", 0.2606], [""凌波"", 0.2606], [""西湖"", 0.2391], [""鸳鸯"", 0.2391], [""武陵"", 0.2391], [""亭亭"", 0.2391], [""西风"", 0.2024]]",荷花、不见、荷叶、舞衣、绿云
759,105,秋海棠,七月,清,高士奇,南柯子,"[[""非关"", 0.621], [""艳妆"", 0.5866], [""相思"", 0.5199]]",非关、艳妆、相思
756,106,秋海棠,七月,清,朱受新,白秋海棠,"[[""花人"", 0.7426], [""独立"", 0.6697]]",花人、独立
749,107,木槿,七月,唐,杨凌,咏槿花,"[[""诗眼"", 0.7348], [""非关"", 0.3674], [""善于"", 0.3674], [""向晚"", 0.3471], [""桃李"", 0.2639]]",诗眼、非关、善于、向晚、桃李
782,108,芦花,七月,金,吴激,同儿曹赋芦花,[],
747,109,木槿,七月,明,吴宽,槿,"[[""相妒"", 0.551], [""独怜"", 0.5205], [""不见"", 0.4613], [""颜色"", 0.4613]]",相妒、独怜、不见、颜色
746,110,木槿,七月,元,舒頔,白槿花,"[[""自怜"", 0.4719], [""零落"", 0.4256], [""佳人"", 0.3951], [""自然"", 0.383], [""寂寞"", 0.383], [""开花"", 0.383]]",自怜、零落、佳人、自然、寂寞
