ID,sample_id,花名,月份,朝代,作者,诗名,hier_cluster,hier_n_clusters
933,157,甘菊,十月,宋,苏轼,咏甘菊,2,8
932,158,木芙蓉,十月,清,王又曾,酷相思,1,8
905,159,雁来红,十月,明,释道衍,茶轩为陈惟寅赋,1,8
906,160,雁来红,十月,宋,苏轼,茶轩为陈惟寅赋,1,8
909,161,山茶,十月,宋,苏轼,邵伯梵行寺山茶,1,8
915,162,山茶花,十月,清,叶申芗,木兰花慢,1,8
917,163,木芙蓉,十月,宋,苏轼,王伯扬所藏赵昌芙蓉,1,8
919,164,木芙蓉,十月,明,申时行,芙蓉,1,8
925,165,木芙蓉,十月,宋,张耒,芙 蓉,1,8
931,166,木芙蓉,十月,宋,赵昂,婆罗门引,1,8
937,167,野菊,十月,唐,李商隐,野菊,1,8
926,168,木芙蓉,十月,宋,范成大,窗前木芙蓉,1,8
954,169,红梅,十一月,明,僧德辉,题红梅,1,8
960,170,红梅,十一月,宋,苏轼,定风波,3,8
959,171,红梅,十一月,宋,姜夔,小重山,3,8
956,172,红梅,十一月,宋,高观国,留春 令,3,8
957,173,红梅,十一月,宋,毛滂,玉楼春,3,8
944,174,红梅,十一月,宋,范成大,红 梅,3,8
945,175,红梅,十一月,宋,范成大,岭上红梅,3,8
946,176,红梅,十一月,宋,梅尧臣,红 梅,3,8
947,177,红梅,十一月,宋,苏轼,红 梅,3,8
958,178,红梅,十一月,宋,真德秀,蝶恋花,3,8
949,179,红梅,十一月,明,黄肃,红 梅,3,8
951,180,红梅,十一月,元,王冕,红梅四首(其一),6,8
948,181,红梅,十一月,宋,范成大,红 梅,3,8
955,182,红梅,十一月,清,龚自珍,种红梅一株于竹下赋此,3,8
953,183,红梅,十一月,明,李东阳,题延平刘郎中廷信所藏红梅,3,8
952,184,红梅,十一月,元,王冕,红梅四首(其二),3,8
974,185,水仙花,十二月,明,文征明,水 仙,7,8
999,186,瑞香,十二月,宋,苏轼,西江月,0,8
997,187,瑞香,十二月,宋,朱淑真,咏瑞香,0,8
996,188,瑞香,十二月,宋,杨万里,瑞香花新开(五首之一),0,8
995,189,瑞香,十二月,宋,范成大,瑞香花,0,8
961,190,水仙花,十二月,宋,黄庭坚,王充道送水仙花五十枝,7,8
962,191,水仙花,十二月,宋,刘克庄,水仙花,7,8
987,192,蜡梅,十二月,宋,黄庭坚,戏咏蜡梅二首,1,8
985,193,蜡梅,十二月,宋,苏轼,蜡梅一首贈赵景貺,3,8
986,194,蜡梅,十二月,宋,陆游,荀秀才送蜡梅十枝奇甚为赋此诗,3,8
984,195,水仙花,十二月,宋,辛弃疾,贺新郎,7,8
983,196,水仙花,十二月,宋,王沂孙,庆宫春,1,8
982,197,水仙花,十二月,宋,高观国,金人捧露盘,7,8
979,198,水仙花,十二月,宋,无名氏,菩萨蛮,7,8
975,199,水仙,十二月,清,陶孚尹,水仙花,7,8
966,200,水仙花,十二月,宋,刘攽,水仙花,7,8
