ID,sample_id,花名,月份,朝代,作者,诗名,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,dominant_topic,dominant_topic_score
898,146,菊花,九月,宋,张孝祥,鹪鸪天,0.4166,0.0012,0.0012,0.0012,0.0012,0.0012,0.5773,6,0.5773
834,147,菊花,九月,晋,陶渊明,饮 酒（其五）,0.819,0.0029,0.0029,0.0868,0.0029,0.0029,0.0825,0,0.819
833,148,菊花,九月,晋,陶渊明,和郭主簿二首(其二),0.9462,0.0026,0.0026,0.0026,0.0408,0.0026,0.0026,0,0.9462
900,149,菊花,九月,清,董元恺,小桃红,0.425,0.0017,0.0017,0.0017,0.3153,0.0017,0.253,0,0.425
895,150,菊花,九月,清,叶申芗,阮郎归,0.692,0.002,0.002,0.002,0.1058,0.194,0.002,0,0.692
897,151,菊花,九月,宋,黄庭坚,鹧鸪天,0.6633,0.0015,0.3293,0.0015,0.0015,0.0015,0.0015,0,0.6633
896,152,菊花,九月,清,龚自珍,卖花声,0.2804,0.0014,0.0014,0.2219,0.0014,0.4923,0.0014,5,0.4923
943,153,野菊,十月,宋,张鎡,如梦令,0.2332,0.0018,0.1423,0.0018,0.1389,0.4802,0.0018,5,0.4802
938,154,野菊,十月,金,元好问,野菊座主闲闲公命作,0.7741,0.0023,0.0023,0.0023,0.0023,0.2146,0.0023,0,0.7741
939,155,野菊,十月,金,元好问,野菊再奉座主闲闲公命作,0.5857,0.0021,0.0021,0.1356,0.0021,0.1605,0.112,0,0.5857
934,156,甘菊,十月,唐,杜甫,叹庭前甘菊花,0.4115,0.0026,0.0026,0.0938,0.0026,0.4842,0.0026,5,0.4842
933,157,甘菊,十月,宋,苏轼,咏甘菊,0.4721,0.3965,0.0018,0.1242,0.0018,0.0018,0.0018,0,0.4721
932,158,木芙蓉,十月,清,王又曾,酷相思,0.1736,0.0017,0.0017,0.5548,0.0017,0.2648,0.0017,3,0.5548
905,159,雁来红,十月,明,释道衍,茶轩为陈惟寅赋,0.0018,0.3925,0.0018,0.5985,0.0018,0.0018,0.0018,3,0.5985
906,160,雁来红,十月,宋,苏轼,茶轩为陈惟寅赋,0.0024,0.4305,0.0024,0.4903,0.0024,0.0385,0.0334,3,0.4903
909,161,山茶,十月,宋,苏轼,邵伯梵行寺山茶,0.2103,0.3371,0.0015,0.4468,0.0015,0.0015,0.0015,3,0.4468
915,162,山茶花,十月,清,叶申芗,木兰花慢,0.0012,0.0012,0.0012,0.4936,0.0012,0.5002,0.0012,5,0.5002
917,163,木芙蓉,十月,宋,苏轼,王伯扬所藏赵昌芙蓉,0.002,0.277,0.002,0.6396,0.002,0.0754,0.002,3,0.6396
919,164,木芙蓉,十月,明,申时行,芙蓉,0.0018,0.0018,0.1009,0.6422,0.0018,0.2496,0.0018,3,0.6422
925,165,木芙蓉,十月,宋,张耒,芙 蓉,0.0411,0.0015,0.0015,0.6295,0.0015,0.3233,0.0015,3,0.6295
931,166,木芙蓉,十月,宋,赵昂,婆罗门引,0.0013,0.0013,0.0013,0.9921,0.0013,0.0013,0.0013,3,0.9921
937,167,野菊,十月,唐,李商隐,野菊,0.0011,0.0011,0.0011,0.2629,0.0011,0.7315,0.0011,5,0.7315
926,168,木芙蓉,十月,宋,范成大,窗前木芙蓉,0.0011,0.0011,0.0011,0.3411,0.0011,0.6532,0.0011,5,0.6532
954,169,红梅,十一月,明,僧德辉,题红梅,0.0028,0.0028,0.3892,0.0028,0.597,0.0028,0.0028,4,0.597
960,170,红梅,十一月,宋,苏轼,定风波,0.0014,0.1774,0.0014,0.1854,0.4708,0.1622,0.0014,4,0.4708
959,171,红梅,十一月,宋,姜夔,小重山,0.0023,0.0023,0.0023,0.0023,0.9863,0.0023,0.0023,4,0.9863
956,172,红梅,十一月,宋,高观国,留春 令,0.0013,0.1528,0.0739,0.0013,0.768,0.0013,0.0013,4,0.768
957,173,红梅,十一月,宋,毛滂,玉楼春,0.0025,0.1076,0.0025,0.0025,0.8801,0.0025,0.0025,4,0.8801
944,174,红梅,十一月,宋,范成大,红 梅,0.0019,0.0019,0.0019,0.0019,0.9888,0.0019,0.0019,4,0.9888
945,175,红梅,十一月,宋,范成大,岭上红梅,0.0014,0.0014,0.0014,0.0014,0.7487,0.1409,0.1048,4,0.7487
946,176,红梅,十一月,宋,梅尧臣,红 梅,0.0027,0.0027,0.0027,0.0027,0.8032,0.1832,0.0027,4,0.8032
947,177,红梅,十一月,宋,苏轼,红 梅,0.0019,0.1444,0.0019,0.0019,0.419,0.3919,0.0389,4,0.419
958,178,红梅,十一月,宋,真德秀,蝶恋花,0.0017,0.0016,0.0016,0.0016,0.7844,0.0016,0.2074,4,0.7844
949,179,红梅,十一月,明,黄肃,红 梅,0.0009,0.0009,0.0009,0.0009,0.9945,0.0009,0.0009,4,0.9945
951,180,红梅,十一月,元,王冕,红梅四首(其一),0.0035,0.0035,0.0035,0.0035,0.673,0.0035,0.3095,4,0.673
948,181,红梅,十一月,宋,范成大,红 梅,0.0009,0.0009,0.0009,0.0009,0.6393,0.2158,0.1411,4,0.6393
