ID,sample_id,花名,月份,朝代,作者,诗名,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,dominant_topic,dominant_topic_score
896,152,菊花,九月,清,龚自珍,卖花声,0.2729,0.0014,0.1513,0.0014,0.0014,0.3984,0.1732,5,0.3984
943,153,野菊,十月,宋,张鎡,如梦令,0.0019,0.1517,0.0019,0.0019,0.0019,0.1075,0.7333,6,0.7333
938,154,野菊,十月,金,元好问,野菊座主闲闲公命作,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.9866,6,0.9866
939,155,野菊,十月,金,元好问,野菊再奉座主闲闲公命作,0.0022,0.0022,0.0022,0.0022,0.0022,0.0853,0.9035,6,0.9035
934,156,甘菊,十月,唐,杜甫,叹庭前甘菊花,0.7153,0.0026,0.0026,0.0026,0.0026,0.0026,0.2719,0,0.7153
933,157,甘菊,十月,宋,苏轼,咏甘菊,0.0018,0.2246,0.0018,0.0018,0.0018,0.0018,0.7662,6,0.7662
932,158,木芙蓉,十月,清,王又曾,酷相思,0.0018,0.0018,0.0018,0.4953,0.1155,0.0018,0.3819,3,0.4953
905,159,雁来红,十月,明,释道衍,茶轩为陈惟寅赋,0.0019,0.658,0.0019,0.0019,0.3327,0.0019,0.0019,1,0.658
906,160,雁来红,十月,宋,苏轼,茶轩为陈惟寅赋,0.0468,0.9047,0.0025,0.0025,0.0025,0.0025,0.0384,1,0.9047
909,161,山茶,十月,宋,苏轼,邵伯梵行寺山茶,0.0016,0.5437,0.0016,0.0016,0.1223,0.3276,0.0016,1,0.5437
915,162,山茶花,十月,清,叶申芗,木兰花慢,0.3288,0.5387,0.0013,0.1273,0.0013,0.0013,0.0013,1,0.5387
917,163,木芙蓉,十月,宋,苏轼,王伯扬所藏赵昌芙蓉,0.002,0.002,0.002,0.9882,0.002,0.002,0.002,3,0.9882
919,164,木芙蓉,十月,明,申时行,芙蓉,0.0018,0.0018,0.0018,0.989,0.0018,0.0018,0.0018,3,0.989
925,165,木芙蓉,十月,宋,张耒,芙 蓉,0.0015,0.0015,0.0015,0.6157,0.3766,0.0015,0.0015,3,0.6157
931,166,木芙蓉,十月,宋,赵昂,婆罗门引,0.0014,0.0014,0.0014,0.9915,0.0014,0.0014,0.0014,3,0.9915
937,167,野菊,十月,唐,李商隐,野菊,0.0015,0.0015,0.0015,0.5139,0.0015,0.0015,0.4788,3,0.5139
926,168,木芙蓉,十月,宋,范成大,窗前木芙蓉,0.0011,0.0011,0.0011,0.6133,0.0011,0.3813,0.0011,3,0.6133
954,169,红梅,十一月,明,僧德辉,题红梅,0.003,0.6404,0.3443,0.003,0.0031,0.0031,0.0031,1,0.6404
960,170,红梅,十一月,宋,苏轼,定风波,0.0014,0.8225,0.0014,0.0014,0.0014,0.1703,0.0014,1,0.8225
959,171,红梅,十一月,宋,姜夔,小重山,0.0022,0.9866,0.0022,0.0022,0.0022,0.0022,0.0022,1,0.9866
956,172,红梅,十一月,宋,高观国,留春 令,0.0015,0.9912,0.0015,0.0015,0.0015,0.0015,0.0015,1,0.9912
957,173,红梅,十一月,宋,毛滂,玉楼春,0.0024,0.9857,0.0024,0.0024,0.0024,0.0024,0.0024,1,0.9857
944,174,红梅,十一月,宋,范成大,红 梅,0.0048,0.5538,0.0048,0.0048,0.0048,0.0048,0.4223,1,0.5538
945,175,红梅,十一月,宋,范成大,岭上红梅,0.0015,0.9909,0.0015,0.0015,0.0015,0.0015,0.0015,1,0.9909
946,176,红梅,十一月,宋,梅尧臣,红 梅,0.0027,0.9841,0.0027,0.0027,0.0027,0.0027,0.0027,1,0.9841
947,177,红梅,十一月,宋,苏轼,红 梅,0.002,0.5164,0.002,0.002,0.002,0.441,0.0347,1,0.5164
958,178,红梅,十一月,宋,真德秀,蝶恋花,0.002,0.8712,0.002,0.002,0.002,0.002,0.119,1,0.8712
949,179,红梅,十一月,明,黄肃,红 梅,0.0009,0.9945,0.0009,0.0009,0.0009,0.0009,0.0009,1,0.9945
951,180,红梅,十一月,元,王冕,红梅四首(其一),0.1567,0.3982,0.1256,0.0034,0.0034,0.0034,0.3093,1,0.3982
948,181,红梅,十一月,宋,范成大,红 梅,0.0009,0.8165,0.0166,0.0009,0.0009,0.1632,0.0009,1,0.8165
955,182,红梅,十一月,清,龚自珍,种红梅一株于竹下赋此,0.0013,0.3348,0.0013,0.0013,0.0013,0.6585,0.0013,5,0.6585
953,183,红梅,十一月,明,李东阳,题延平刘郎中廷信所藏红梅,0.0021,0.7314,0.0021,0.0021,0.258,0.0021,0.0021,1,0.7314
952,184,红梅,十一月,元,王冕,红梅四首(其二),0.0029,0.9824,0.0029,0.0029,0.0029,0.0029,0.0029,1,0.9824
